Start_Lat,Start_Lng,Distance(mi),Temperature(F),Humidity(%),Visibility(mi),Wind_Direction,Weather_Condition,day_of_week_acc,Nautical_Twilight,season_acc,cible,year_acc
37.5,-122.3,0.0,73.0,44.0,10.0,0.11207069872824872,Fair,3,Day,autumn,0,2020
33.4,-112.6,0.0,59.0,55.0,10.0,0.175655015598652,Fair,5,Night,spring,0,2020
28.0,-82.3,1.0,77.0,89.0,10.0,0.1726279818900893,Cloudy,1,Night,autumn,0,2020
33.1,-117.3,1.0,69.0,11.0,10.0,0.19551397248314875,Fair,0,Night,winter,0,2020
39.8,-86.0,0.0,43.0,81.0,10.0,0.14509260250954292,Fair,6,Day,winter,0,2020
25.9,-80.4,0.0,76.0,48.0,10.0,0.1260522790801609,Mostly Cloudy,3,Day,winter,0,2020
38.4,-122.8,0.0,65.0,37.0,10.0,0.14509260250954292,Fair,0,Day,autumn,0,2020
36.7,-119.6,1.0,54.0,53.0,10.0,0.1837178381607416,Mostly Cloudy,4,Night,autumn,0,2020
28.6,-81.5,0.0,80.0,71.0,10.0,0.2012560380538422,Mostly Cloudy,6,Day,spring,0,2020
38.5,-121.4,0.0,83.0,13.0,10.0,0.1726279818900893,Fair,0,Day,summer,0,2020
38.5,-121.5,0.0,71.0,45.0,10.0,0.19946047525166746,Fair,3,Day,spring,0,2020
30.7,-86.1,1.0,54.0,80.0,10.0,0.07512959899967943,Fair,2,Night,autumn,0,2020
39.3,-76.6,2.0,,,,0.14172863575095576,Other,5,Night,autumn,0,2020
40.8,-73.9,1.0,53.0,35.0,10.0,0.11216944406164672,Fair,0,Day,autumn,0,2020
35.3,-80.8,0.0,25.0,86.0,10.0,0.07512959899967943,Fair,6,Day,winter,0,2020
37.7,-77.5,0.0,71.0,78.0,10.0,0.19946047525166746,Fair,2,Day,autumn,0,2020
37.9,-121.2,0.0,53.0,89.0,5.0,0.20179659383577014,Light Rain,6,Night,winter,0,2020
34.1,-117.3,1.0,68.0,21.0,7.0,0.07512959899967943,Fair,4,Day,autumn,0,2020
42.4,-83.1,1.0,86.0,44.0,10.0,0.19611848126126613,Mostly Cloudy,5,Day,summer,0,2020
32.4,-111.0,0.0,75.0,20.0,10.0,0.2012560380538422,Cloudy,4,Night,autumn,0,2020
30.0,-90.0,0.0,66.0,78.0,10.0,0.1837178381607416,Fair,4,Night,autumn,0,2020
36.2,-86.8,2.0,63.0,58.0,10.0,0.1837178381607416,Fair,4,Night,autumn,0,2020
39.8,-121.9,1.0,37.0,93.0,10.0,0.07512959899967943,Fair,6,Night,winter,0,2020
33.8,-118.2,0.0,64.0,7.0,10.0,0.1837178381607416,Fair,3,Night,winter,0,2020
32.7,-96.7,0.0,34.0,79.0,10.0,0.2012560380538422,Fair,5,Night,winter,0,2020
45.5,-122.8,4.0,53.0,66.0,10.0,0.14509260250954292,Cloudy,3,Day,autumn,0,2020
38.7,-77.2,0.0,51.0,42.0,10.0,0.17427911846260802,Fair,0,Day,autumn,0,2020
40.1,-75.7,0.0,54.0,38.0,10.0,0.17427911846260802,Other,3,Day,spring,0,2020
32.4,-93.7,0.0,71.0,69.0,10.0,0.1934317088257318,Mostly Cloudy,2,Day,winter,0,2020
34.1,-117.2,0.0,81.0,13.0,10.0,0.07512959899967943,Fair,3,Day,winter,0,2020
36.9,-121.6,0.0,50.0,62.0,10.0,0.14509260250954292,Fair,1,Night,autumn,0,2020
34.0,-117.6,0.0,77.0,54.0,9.0,0.175655015598652,Mostly Cloudy,4,Day,spring,0,2020
37.4,-77.4,2.0,63.0,,10.0,0.19946047525166746,Cloudy,4,Day,spring,1,2020
40.7,-112.1,0.0,34.0,67.0,10.0,0.11539246896503184,Mostly Cloudy,0,Day,autumn,0,2020
33.9,-118.3,0.0,65.0,32.0,10.0,0.1726279818900893,Fair,1,Day,winter,0,2020
30.5,-91.2,0.0,75.0,90.0,10.0,0.07512959899967943,Fair,1,Day,autumn,0,2020
43.1,-75.2,0.0,35.0,70.0,10.0,0.1260522790801609,Fair,6,Night,autumn,1,2020
40.4,-80.0,1.0,61.0,93.0,7.0,0.2012560380538422,Fair,6,Night,autumn,1,2020
39.0,-94.6,0.0,47.0,34.0,10.0,0.16782070524190654,Fair,6,Day,autumn,0,2020
40.7,-111.5,0.0,,,,0.14172863575095576,Other,2,Day,spring,0,2020
33.9,-117.7,0.0,62.0,78.0,10.0,0.17427911846260802,Fair,5,Night,spring,0,2020
36.8,-76.2,1.0,58.0,93.0,9.0,0.14509260250954292,Mostly Cloudy,5,Night,winter,0,2020
45.5,-122.6,0.0,84.0,35.0,10.0,0.1726279818900893,Fair,0,Day,summer,1,2020
33.7,-84.4,0.0,70.0,90.0,3.0,0.1260522790801609,Light Rain,2,Day,spring,0,2020
25.8,-80.2,6.0,83.0,77.0,7.0,0.1260522790801609,Light Rain,6,Day,autumn,0,2020
33.0,-96.8,0.0,59.0,59.0,10.0,0.1726279818900893,Mostly Cloudy,5,Day,winter,0,2020
39.3,-76.7,0.0,,,,0.14172863575095576,Other,2,Night,winter,0,2020
47.7,-122.3,0.0,54.0,83.0,10.0,0.14509260250954292,Light Rain,2,Day,spring,0,2020
36.7,-121.8,0.0,67.0,49.0,10.0,0.11216944406164672,Fair,4,Day,spring,0,2020
44.0,-91.7,0.0,32.0,69.0,10.0,0.07512959899967943,Cloudy,0,Night,autumn,0,2020
30.0,-90.1,0.0,36.0,100.0,10.0,0.07512959899967943,Fair,1,Night,winter,0,2020
34.5,-86.9,3.0,44.0,71.0,10.0,0.07512959899967943,Fair,0,Night,winter,0,2020
30.0,-90.1,0.0,60.0,100.0,10.0,0.1260522790801609,Mostly Cloudy,1,Night,winter,0,2020
47.2,-122.4,0.0,55.0,73.0,10.0,0.11216944406164672,Fair,0,Night,spring,0,2020
41.4,-81.8,0.0,38.0,68.0,1.0,0.07512959899967943,Other,2,Day,spring,0,2020
34.5,-120.2,7.0,58.0,90.0,7.0,0.1260522790801609,Mostly Cloudy,3,Day,spring,1,2020
37.0,-121.7,0.0,48.0,93.0,10.0,0.07512959899967943,Mostly Cloudy,1,Night,spring,0,2020
37.7,-122.4,0.0,49.0,66.0,10.0,0.17427911846260802,Fair,1,Night,winter,0,2020
44.2,-92.6,2.0,56.0,50.0,10.0,0.19551397248314875,Fair,5,Day,autumn,0,2020
28.4,-82.2,0.0,93.0,49.0,10.0,0.14509260250954292,Fair,6,Day,spring,1,2020
39.2,-76.6,0.0,58.0,51.0,10.0,0.2012560380538422,Cloudy,1,Day,spring,0,2020
34.0,-118.4,0.0,63.0,58.0,10.0,0.11216944406164672,Fair,4,Day,winter,0,2020
41.6,-72.0,3.0,30.0,61.0,10.0,0.16782070524190654,Cloudy,1,Day,winter,1,2020
32.6,-117.1,0.0,,,10.0,0.14172863575095576,Partly Cloudy,6,Day,spring,0,2020
39.1,-77.0,2.0,61.0,89.0,10.0,0.07512959899967943,Cloudy,0,Day,autumn,0,2020
34.9,-82.8,0.0,48.0,100.0,3.0,0.1934317088257318,Fair,2,Night,autumn,0,2020
38.8,-104.9,2.0,54.0,38.0,10.0,0.19551397248314875,Fair,0,Day,spring,1,2020
42.3,-88.1,0.0,26.0,66.0,10.0,0.16782070524190654,Cloudy,2,Night,winter,0,2020
33.9,-117.4,0.0,43.0,65.0,10.0,0.1260522790801609,Fair,5,Night,winter,0,2020
28.7,-81.5,0.0,84.0,76.0,10.0,0.20179659383577014,Fair,5,Day,autumn,0,2020
38.6,-121.4,0.0,90.0,20.0,10.0,0.1934317088257318,Fair,5,Day,spring,0,2020
